disease_group_id,disease_group_name,report_group_code,case_count,support_level
313,COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,U07.1,1955,high
281,"Các tổn thương khác do chấn thương xác định và ở nhiều nơi - Other injuries of specified, unspecified and multiple body regions","S00-S01,S04,S09-S11,S14-S16,S19-S21,S24-S25,S29-S31,S34-S35,S39-S41,S44-S46,S49-S51,S54-S56,S59-S61,S64-S66,S69-S71,S74-S76,S79-S81,S84-S86,S89-S91,S94-S96,S99-T01,T06-T07,T09,T13-T14",1882,high
260,Tinh hoàn lạc chỗ - Undescended testicle,Q53,1856,high
194,Các bệnh khác của gan - Other diseases of liver,K71-K77,1813,high
192,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,"K52-K55,K58-K67",1683,high
72,U ác mạc treo và các mô mềm - Malignantneoplasms of mesothelial and soft tissue,C45-C49,1663,high
182,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",K09-K14,1627,high
217,Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system,"N25-N29,N31-N39",1627,high
35,Sởi - Measles,B05,1575,high
265,Dị dạng bẩm sinh khác - Other congenital malformations,"Q10-Q18,Q30-Q34,Q80-Q89",1538,high
311,Bệnh do tiếp xúc với dịch vụ y tế phải chăm sóc và khám xét đặc biệt - Persons encountering health services for specific procedures and health care,Z40-Z54,1393,high
212,Bệnh cầu thận khác - Other glomerular diseases,N02-N08,1326,high
166,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",J04,1313,high
120,Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system,G00-G09,1289,high
86,U bạch huyết không phải Hodgkin - Non-Hodgkin's lymphoma,C82-C85,1224,high
278,Thương tổn do chấn thương trong sọ - Intracranial injury,S06,1205,high
300,Tai biến của thuốc và các chất sinh học trong điều trị - Drugs medicament and biological substances causing adverseeffects in therapeutic use.,Y40-Y59,1199,high
111,"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders","E15-E35,E58-E63,E65,E67-E84,E85,E87,E88-E89,E90",1136,high
200,"Viêm khớp dạng thấp và viêm khớp khác - Rheumatoid arthritis, other inflamatory polyarthropaties",M05-M14,1093,high
80,U ác khác của đường tiết niệu - Other malignant neoplasms of uterinary tract,"C64-C66,C68",1070,high
264,Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,Q67-Q79,995,medium
220,"Tràn dịch tinh mạc, u nang tinh dịch - Hydrocele and spermatocele",N43,994,medium
197,Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,"K87-K93,K82-K83",931,medium
129,Bệnh khác của hệ thần kinh - Other diseases of the nervous system,"G10-G14,G21-G26,G31-G32,G36-G37,G46-G47,G60-G73,G90-G99",840,medium
257,Sứt môi và hở hàm ếch - Cleft lip and cleft palate,Q35-Q37,798,medium
207,Tổn thương các mô mềm - Soft tissue disorders,M60-M79,769,medium
97,Thiếu máu do thiếu sắt - Iron deficiency anaemia,D50,761,medium
214,Suy thận - Renal failure,N17-N19,682,medium
273,Gãy xương đùi - Fracture of femur,S72,681,medium
283,Bỏng và sự ăn mòn - Burnss and corrosions,T20-T32,678,medium
267,Đau bụng và khung chậu - Abdominal and pelvic pain,R10,676,medium
250,Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases,P35-P37,645,medium
282,Hậu quả do dị vật vào hốc tự nhiên - Effects of foreign body entert hrough natural orifice,T15-T19,634,medium
84,"U ác các khu trú khác, khó định nghĩa, thứ phát, không xác định rõ và phức hợp - Malignant neoplasm of other and ill","C73-C80,C97",626,medium
82,U ác não - Malignant neoplasm of brain,C71,624,medium
271,Vỡ xương sọ và các xương mặt - Fracture of skull and facial bones,S02,617,medium
104,Đái tháo đường - Diabetes mellitus.,E10-E14,585,medium
90,U da lành - Benign neoplasm of skin,D22-D23,563,medium
69,U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage,C40-C41,545,medium
229,"Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament",N83,526,medium
63,U ác gan và đường mật trong gan - Malignant neoplasm of liver and intrahepatic bile ducts,C22,480,medium
17,Nhiễm khuẩn huyết - Septicemia,A40-A41,452,medium
196,Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas,K85-K86,450,medium
222,Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs,"N44-N46,N48,N49-N51",443,medium
76,U ác các phần khác và không xác định của tử cung - Malignant neoplasms of other and unspecified parts of uterus,C54-C55,395,medium
95,U lành não và các phần khác của hệ thần kinh trung ương - Benign neoplasm of brain and other parts of central nervous system,D33,389,medium
68,Các u khác cơ quan hô hấp và lồng ngực - Other malignant neplasm of respiratory and intrathoracic,"C30-C31,C37-C39",380,medium
183,Loét dạ dày và tá tràng - Gastric and duodenal ulcer,K25-K27,361,medium
93,U buồng trứng lành - Benign neoplasm of ovary,D27,343,medium
203,Bệnh khác của khớp - Other joint disorders,"M00-M03,M22-M25",322,medium
287,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,"T33-T35,T66-T73,T75-T78",322,medium
85,Bệnh Hodgkin - Hodgkin disease,C81,263,medium
288,"Một số biến chứng sớm của chấn thương, của chăm sóc ngoại khoa và y học, chưa xếp ở nơi khác - Certain early complications of trauma and complications of surgical and medical care, not elsewhere classified",T79-T88,260,medium
100,Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism,D80-D89,256,medium
206,Bệnh khác của cột sống - Other dorsopathies,"M40-M49,M53-M54",254,medium
179,Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.,"J22,J61-J99",249,medium
312,Bệnh do tiếp xúc với dịch vụ y tế vì những lý do khác - Person encoutering health services for other reasons,"Z31-Z33,Z37,Z55-Z99",242,medium
150,Rối loạn dẫn truyền và loạn nhịp tim - Conduction disorders and cardiac arrhythymias,I44-I49,238,medium
189,Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis,K50-K51,236,medium
57,Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,"A65-A67,A69-A70,A74,A77-A79,B58-B64,B85-B89,B94-B99",235,medium
145,Tăng huyết áp nguyên phát - Essential (primary) hypertension,I10,230,medium
209,Viêm xương tuỷ - Osteomyelitis,M86,230,medium
164,Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,"I85-I99, I77-I79,I95-I99",228,medium
246,"Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight",P05-P07,217,medium
215,Sỏi tiết niệu - Urolithiasis,N20-N23,201,medium
119,Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders,"F04-F09,F50-F69,F80-F99",194,low
152,Bệnh tim khác - Other heart diseases,"I27-I43,I51-I52",194,low
140,"Viêm tai giữa, bệnh khác của tai giữa và xương chũm - Otitis media and other disorders of middle ear and mastoid",H65-H75,187,low
188,Các thoát vị khác - Other hernia,K41-K46,180,low
181,Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures,"K03-K08,K00-K01",169,low
255,Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma,"Q00-Q04,Q06-Q07",152,low
125,Đau nửa đầu và các hội chứng đau đầu khác - Migraine and other headache syndromes.,G43-G44,150,low
78,U ác khác của cơ quan sinh dục nam - Other malignant neoplasms of male genital organs,"C60,C62-C63",146,low
211,Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes,N00-N01,144,low
156,Bệnh mạch máu não khác - Other cerebrovascular diseases,I65-I69,139,low
117,"Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders",F40-F48,131,low
103,Tổn thương khác của tuyến giáp - Other disorders of thyroid.,"E03-E04,E06-E07",121,low
233,Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract,"N82,N84-N90,N93-N94,N96,N98-N99",112,low
34,Thuỷ đậu và zôna - Varicella and Zoster,B01-B02,110,low
127,"Tổn thương thần kinh, rễ và đám rối thần kinh - Nerve, nerve root and plexus disorders",G50-G59,107,low
195,Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis,K80-K81,107,low
262,Dị dạng bẩm sinh hông - Congenital deformities of hip,Q65,107,low
208,Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure,M80-M85,104,low
279,Thương tổn do chấn thương các nội tạng khác - Injury of other internal organs,"S26-S27,S36-S37",94,low
213,Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,N10-N16,93,low
251,Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period,P38-P39,89,low
8,Các dạng lao khác - Other tuberculosis,A17-A19,87,low
153,Chảy máu não - Intracerebral haemorrhage,I60-I62,85,low
263,Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,Q66,83,low
285,Tác hại của các chất có nguồn gốc chủ yếu không phải thuốc - Toxic effects of substances chiefly nonmedical as to source,T51-T65,83,low
105,Suy dinh dưỡng - Malnutrition,E40-E46,82,low
27,Sốt Rickettsia - Typhus fever,A75,75,low
30,Viêm não Virut - Viral encephalitis,A83-A86,73,low
172,Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,"J30-J31,J33-J34",71,low
268,Sốt không rõ nguyên nhân - Fever of unknown origin,R50,69,low
226,Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs,"N71,N73-N77",68,low
284,Nhiễm độc thuốc và các sinh phẩm - Poisoning by drugs and biological substances,T36-T50,67,low
154,Nhồi máu não - Cerebral infarction,I63,64,low
216,Viêm bàng quang - Cystitis,N30,64,low
91,U vú lành - Benign neoplasm of breast,D24,61,low
210,"Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue",M87-M99,60,low
161,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",I80-I82,57,low
102,Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis,E05,56,low
79,U ác bàng quang - Malignant neoplasm of bladder,C67,56,low
118,Chậm phát triển tâm thần - Mental retardation,F70-F79,55,low
88,"U ác limphô khác, cơ quan tạo máu và tổ chức có liên quan - Other malignant neoplasms of lymphoid, haematopoietic and related tissue","C86,C88-C90,C96",54,low
15,Ho gà - Whooping cough,A37,53,low
291,Tai nạn do các nguyên nhân sức mạnh cơ học và không cố ý - exposure to inanimate mechanical forces,W00-W64,52,low
139,Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,"H30-H32,H34-H36,H43-H48,H51,H53-H55,H57-H59",51,low
131,"Viêm kết mạc, tổn thương khác của kết mạc - Conjunctivitis and other disoders of conjunctiva",H10-H13,50,low
296,Tai nạn do tiếp xúc với động vật và cây độc - Contact with venomous animals and plants,X20-X29,49,low
151,Suy tim - Heart failure,I50,46,low
174,Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,J36-J39,46,low
20,"Giang mai sớm (Giang mai I, II và kín) - Early syphilis",A50,45,low
109,Béo phì - Obesity,E66,43,low
202,Biến dạng các chi mắc phải - Accquired deformities of limbs,M20-M21,43,low
7,Lao bộ máy hô hấp - Respiratory tuberculosis,A15-A16,41,low
142,Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,"H60-H62,H80-H83,H92-H95",39,low
276,"Sai khớp, bong gân, tổn thương khu trú và ở nhiều vùng cơ thể - Dislocations, sprains and strains of specified and multiple body regions","S03,S13,S23,S33,S43,S53,S63,S73,S83,S93,T03",38,low
304,Người tiếp xúc với các dịch vụ y tế làm các khám xét và điều tra - Person encountering health services for examination and investigation,Z00-Z01,36,low
83,U ác các phần khác của hệ thần kinh trung ương - Malignant neoplasm of other parts of central nervous system,"C70,C72",36,low
299,Bạo lực đánh nhau - Assault,X85-Y09,32,low
74,U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs,"C51-C52,C57-C58",32,low
175,"Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases",J40-J44,31,low
136,Lác mắt - Strabismus,H49-H50,28,low
144,Bệnh thấp tim mãn - Chronic rheumatic disease,I05-I09,28,low
58,"U ác môi, khoang miệng, họng - Malignant neoplasm of lip, oral cavity and pharynx",C00-C14,28,low
306,Người có nguy cơ liên quan đến bệnh truyền nhiễm - Other persons with potential health hazards related to communicable diseases,"Z20,Z22-Z29",27,low
128,"Liệt não, hội chứng liệt khác - Cerebral palsy and other paralytic syndromes",G80-G83,25,low
38,Viêm gan virut khác - Other viral hepatitis,"B15,B17-B19",25,low
223,Tổn thương của vú - Disorders of breast,N60-N64,23,low
249,Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period,P22-P28,23,low
254,Gai đôi cột sống - Spina bifida,Q05,23,low
4,Lỵ Amip - Amoebiasis,A06,22,low
266,"Dị thường nhiễm sắc thể, chưa xếp ở chỗ khác - Chromosomal abnormalities, not elsewhere sclassified",Q90-Q99,21,low
65,Các u khác cơ quan tiêu hoá - Other malignant neoplasms of digestive organs,"C17,C23-C24,C26",21,low
272,"Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis.","S12,S22,S32,T08",19,insufficient
130,Viêm mi mắt - Inflammation of eyelid,H00-H01,18,insufficient
19,Giang mai bẩm sinh - Congenital syphilis,A49,18,insufficient
42,Nấm - Mycoses,B35-B49,18,insufficient
81,U ác mắt và các phần phụ - Malignant neoplasm of eye and adnexa,C69,17,insufficient
19,Giang mai bẩm sinh - Congenital syphilis,H54,16,insufficient
230,Rối loạn kinh nguyệt - Disorders of menstruation,N91-N92,16,insufficient
39,Nhiễm HIV - Human immuno deficiency virus disease,B20-B24,16,insufficient
53,Bệnh giun sán khác - Other Helminthiases,"B68-B71,B75,B77-B83",15,insufficient
123,Xơ cứng nhiều nơi - Multiple sclerosis,G35,14,insufficient
64,U ác tụy - Malignant neoplasm of pancreas,C25,13,insufficient
70,U ác hắc tố da - Malignant melanoma of skin,C43,13,insufficient
171,Viêm xoang mạn tính - Chronic sinusitis,J32,12,insufficient
115,"Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",F20-F29,11,insufficient
116,Rối loạn khí sắc - Mood ( affective) disorders.,F30-F39,11,insufficient
146,Bệnh tăng huyết áp khác - Other hypertensive diseases,I11-I15,11,insufficient
292,"Tai nạn chết đuối, chết chìm - Accident drowning and submersion",W65-W84,11,insufficient
126,Cơn thiếu máu não thoáng qua và các hội chứng tương tự - Transient cerebral ischaemic attacks and related syndromes,G45,10,insufficient
143,Thấp khớp cấp - Acute rheumatic heart disease,I00-I02,9,insufficient
18,Các bệnh do vi khuẩn khác - Other bacterial diseases,"A21-A22,A24-A28,A31-A32,A38,A42-A49",9,insufficient
191,Bệnh túi thừa của ruột non - Diverticular disease of intestine,K57,9,insufficient
258,"Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine",Q41,9,insufficient
37,Viêm gan B cấp - Acute hepatitis B,B16,9,insufficient
107,Thiếu vitamin khác - Other vitamin deficiencies.,E51-E56,8,insufficient
159,Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,I74,8,insufficient
205,Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,M50-M51,8,insufficient
224,Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,N70,8,insufficient
297,Tai nạn ngộ độc do các chất độc - Accident poisoning by and exposure to noxious substances,X40-X49,8,insufficient
132,"Viêm giác mạc, tổn thương khác của củng mạc và giác mạc - Keratitis and other disorders of sclera and cornea.",H15-H22,7,insufficient
33,Nhiễm virut Héc-pét - Herpesviral infections,B00,7,insufficient
94,U lành cơ quan tiết niệu - Benign neoplasm of urinary organs,D30,7,insufficient
62,"U ác chỗ nối trực tràng sigma, trực tràng, hậu môn và ống hậu môn - Malignant neoplasm of rectosigmoid function, rectum, anus and anal canal",C19-C21,6,insufficient
160,"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",I71-I72,5,insufficient
277,Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit,S05,5,insufficient
289,"Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes",T90-T98,5,insufficient
290,Tai nạn giao thông - Transport accidént,V01-V99,5,insufficient
1,Tả - Cholera,A00,4,insufficient
137,"Tật khúc xạ, các rối loạn điều tiết - Disorders of refraction and accomodation",H52,4,insufficient
148,Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,"I20,I23-I25",4,insufficient
168,Cúm - Influenza,J09-J11,4,insufficient
201,Bệnh thoái hoá khớp - Arthrosis,M15-M19,4,insufficient
13,Các dạng uốn ván khác - Other tetanus,A34-A35,3,insufficient
61,U ác đại tràng - Malignant neoplasm of colon,C18,3,insufficient
101,Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,E00-E02,2,insufficient
141,Mất thính giác - Hearing loss,H90-H91,2,insufficient
155,"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",I64,2,insufficient
16,Nhiễm khuẩn não mô cầu - Meningococcal infection,A39,2,insufficient
180,Sâu răng - Dental caries,K02,2,insufficient
2,"Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers",A01,2,insufficient
218,Quá sản tuyến tiền liệt - Hyperplasia of prostate,N40,2,insufficient
219,Tổn thương khác của tuyến tiền liệt - Other disorders of prostate,N41-N42,2,insufficient
245,"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",P00-P04,2,insufficient
294,"Tai nạn do khói, lửa, đám cháy - expossure to smoke, fire and fpames",X00-X09,2,insufficient
295,Tai nạn do tiếp xúc với các chất nóng - contact with heat and hot,X10-X19,2,insufficient
40,Quai bị - Mumps,B26,2,insufficient
60,U ác dạ dày - Malignant neoplasm of stomach,C16,2,insufficient
67,"U ác khí quản, phế quản và phổi - Malignant neoplasms of trachea, bronchus and lung",C33-C34,2,insufficient
114,Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,F11-F19,1,insufficient
135,Glôcôm - Glaucoma,H40-H42,1,insufficient
158,Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,I73,1,insufficient
24,Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,A57-A64,1,insufficient
242,Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,"O20-O29,O60-O63,O67-O71,O73-O75,O81-O84",1,insufficient
247,Các chấn thương sản khoa - Birth trauma,P10-P15,1,insufficient
280,Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,"S07-S08,S17-S18,S28,S38,S47-S48,S57-S58,S67-S68,S77-S78,S87-S88,S97-S98,T04-T05",1,insufficient
298,Tự tử - Intentional self-harm,X60-X84,1,insufficient
47,Các nhiễm khuẩn do sán lá - Other fluke infections,B66,1,insufficient
48,Sán Echinococ - Echinococcosis,B67,1,insufficient
73,U ác vú - Malignant neoplasm of breast,C50,1,insufficient
9,Dịch hạch - Plague,A20,1,insufficient
92,U cơ trơn tử cung - Leiomyoma of uterus,D25,1,insufficient
