date,age_group,gender,disease_group_id,report_group_code,disease_group_name,case_count,has_case
2021-01-04,1-5 tuổi,Nam,99,D65-D77,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1,1
2021-01-04,1-5 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,3,1
2021-01-04,1-5 tuổi,Nữ,87,C91-C95,Bệnh bạch cầu - Leukaemia,1,1
2021-01-04,6-10 tuổi,Nam,5,A09,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1,1
2021-01-04,6-10 tuổi,Nam,99,D65-D77,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1,1
2021-01-04,Dưới 1 tuổi,Nam,167,"J00-J01,J05-J06",Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,2,1
2021-01-04,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-04,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-04,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-05,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-05,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-05,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,2,1
2021-01-05,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-05,1-5 tuổi,Nữ,199,L10-L99,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,1,1
2021-01-05,11-15 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-05,6-10 tuổi,Nam,5,A09,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1,1
2021-01-05,Dưới 1 tuổi,Nam,288,T79-T88,"Một số biến chứng sớm của chấn thương, của chăm sóc ngoại khoa và y học, chưa xếp ở nơi khác - Certain early complications of trauma and complications of surgical and medical care, not elsewhere classified",1,1
2021-01-06,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-06,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,3,1
2021-01-06,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-06,1-5 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-06,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-06,1-5 tuổi,Nữ,176,J45-J46,Hen - Asthma,1,1
2021-01-06,6-10 tuổi,Nam,212,N02-N08,Bệnh cầu thận khác - Other glomerular diseases,1,1
2021-01-06,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-06,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-06,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-06,Dưới 1 tuổi,Nữ,172,"J30-J31,J33-J34",Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,1,1
2021-01-07,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,4,1
2021-01-07,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-07,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-07,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-07,1-5 tuổi,Nữ,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-07,11-15 tuổi,Nam,17,A40-A41,Nhiễm khuẩn huyết - Septicemia,1,1
2021-01-07,6-10 tuổi,Nữ,111,"E15-E35,E58-E63,E65,E67-E84,E85,E87,E88-E89,E90","Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",1,1
2021-01-07,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-07,Dưới 1 tuổi,Nam,185,"K20-K23,K28,K30-K31","Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1,1
2021-01-08,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-08,1-5 tuổi,Nam,182,K09-K14,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",1,1
2021-01-08,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-08,1-5 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-08,1-5 tuổi,Nữ,190,K56,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",1,1
2021-01-08,1-5 tuổi,Nữ,197,"K87-K93,K82-K83",Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,1,1
2021-01-08,11-15 tuổi,Nữ,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-08,6-10 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-08,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-08,Dưới 1 tuổi,Nữ,185,"K20-K23,K28,K30-K31","Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1,1
2021-01-08,Dưới 1 tuổi,Nữ,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-09,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-09,1-5 tuổi,Nam,185,"K20-K23,K28,K30-K31","Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1,1
2021-01-09,1-5 tuổi,Nam,204,M30-M36,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,1,1
2021-01-09,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-09,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-09,6-10 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-09,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-09,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-09,Dưới 1 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-10,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-10,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-10,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-10,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,3,1
2021-01-10,1-5 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-10,6-10 tuổi,Nữ,120,G00-G09,Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system,1,1
2021-01-10,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,4,1
2021-01-10,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-10,Dưới 1 tuổi,Nam,217,"N25-N29,N31-N39",Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system,1,1
2021-01-10,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-10,Dưới 1 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-11,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-11,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-11,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-11,1-5 tuổi,Nam,176,J45-J46,Hen - Asthma,2,1
2021-01-11,1-5 tuổi,Nam,197,"K87-K93,K82-K83",Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,4,1
2021-01-11,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-11,1-5 tuổi,Nữ,166,J04,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",1,1
2021-01-11,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-11,6-10 tuổi,Nam,17,A40-A41,Nhiễm khuẩn huyết - Septicemia,1,1
2021-01-11,6-10 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-11,6-10 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-11,6-10 tuổi,Nữ,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-11,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-11,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-11,Dưới 1 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-11,Dưới 1 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-12,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-12,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-12,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-12,1-5 tuổi,Nữ,287,"T33-T35,T66-T73,T75-T78",Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,1,1
2021-01-12,1-5 tuổi,Nữ,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-12,6-10 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-12,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-12,Dưới 1 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-12,Dưới 1 tuổi,Nữ,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-13,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-13,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,3,1
2021-01-13,1-5 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,2,1
2021-01-13,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-13,1-5 tuổi,Nam,99,D65-D77,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1,1
2021-01-13,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-13,1-5 tuổi,Nữ,176,J45-J46,Hen - Asthma,1,1
2021-01-13,1-5 tuổi,Nữ,57,"A65-A67,A69-A70,A74,A77-A79,B58-B64,B85-B89,B94-B99",Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,1,1
2021-01-13,11-15 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-13,6-10 tuổi,Nam,184,K29,Viêm dạ dày và tá tràng - Gastritis and duodenitis,1,1
2021-01-13,6-10 tuổi,Nữ,87,C91-C95,Bệnh bạch cầu - Leukaemia,1,1
2021-01-13,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-13,Dưới 1 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-13,Dưới 1 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-13,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-13,Dưới 1 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,2,1
2021-01-14,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,3,1
2021-01-14,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-14,1-5 tuổi,Nam,190,K56,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",1,1
2021-01-14,1-5 tuổi,Nam,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-14,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-14,1-5 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-14,1-5 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-14,6-10 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-14,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-14,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-14,Dưới 1 tuổi,Nam,253,"P08,P29,P50-P54,P56-P96",Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,1,1
2021-01-14,Dưới 1 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-14,Dưới 1 tuổi,Nữ,167,"J00-J01,J05-J06",Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,1,1
2021-01-15,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-15,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-15,1-5 tuổi,Nam,176,J45-J46,Hen - Asthma,1,1
2021-01-15,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-15,1-5 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-15,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-15,6-10 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-15,Dưới 1 tuổi,Nam,167,"J00-J01,J05-J06",Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,1,1
2021-01-15,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-15,Dưới 1 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-15,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,3,1
2021-01-15,Dưới 1 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-15,Dưới 1 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-16,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-16,1-5 tuổi,Nam,198,L00-L08,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,1,1
2021-01-16,1-5 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,2,1
2021-01-16,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-16,1-5 tuổi,Nữ,176,J45-J46,Hen - Asthma,1,1
2021-01-16,Dưới 1 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-16,Dưới 1 tuổi,Nam,5,A09,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1,1
2021-01-16,Dưới 1 tuổi,Nữ,166,J04,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",1,1
2021-01-16,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-16,Dưới 1 tuổi,Nữ,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1,1
2021-01-16,Dưới 1 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-17,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-17,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-17,1-5 tuổi,Nữ,166,J04,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",1,1
2021-01-17,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-17,1-5 tuổi,Nữ,198,L00-L08,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,1,1
2021-01-17,Dưới 1 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-25,1-5 tuổi,Nam,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1,1
2021-01-25,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,4,1
2021-01-25,1-5 tuổi,Nam,176,J45-J46,Hen - Asthma,1,1
2021-01-25,1-5 tuổi,Nam,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases,1,1
2021-01-25,1-5 tuổi,Nam,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1,1
2021-01-25,1-5 tuổi,Nữ,165,J02-J03,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,2,1
2021-01-25,1-5 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-25,1-5 tuổi,Nữ,204,M30-M36,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,1,1
2021-01-25,1-5 tuổi,Nữ,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,2,1
2021-01-25,1-5 tuổi,Nữ,87,C91-C95,Bệnh bạch cầu - Leukaemia,1,1
2021-01-25,11-15 tuổi,Nam,212,N02-N08,Bệnh cầu thận khác - Other glomerular diseases,1,1
2021-01-25,11-15 tuổi,Nam,281,"S00-S01,S04,S09-S11,S14-S16,S19-S21,S24-S25,S29-S31,S34-S35,S39-S41,S44-S46,S49-S51,S54-S56,S59-S61,S64-S66,S69-S71,S74-S76,S79-S81,S84-S86,S89-S91,S94-S96,S99-T01,T06-T07,T09,T13-T14","Các tổn thương khác do chấn thương xác định và ở nhiều nơi - Other injuries of specified, unspecified and multiple body regions",1,1
2021-01-25,11-15 tuổi,Nữ,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-25,6-10 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-25,Dưới 1 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,2,1
2021-01-25,Dưới 1 tuổi,Nam,253,"P08,P29,P50-P54,P56-P96",Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,2,1
2021-01-25,Dưới 1 tuổi,Nữ,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-25,Dưới 1 tuổi,Nữ,261,"Q50-Q52,Q54-Q64",Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,1,1
2021-01-25,Dưới 1 tuổi,Nữ,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,1,1
2021-01-26,1-5 tuổi,Nam,169,J12-J18,Các bệnh viêm phổi - Pneumonia,1,1
2021-01-26,1-5 tuổi,Nam,170,J20-J21,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,2,1
2021-01-26,1-5 tuổi,Nam,182,K09-K14,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",1,1
2021-01-26,1-5 tuổi,Nam,185,"K20-K23,K28,K30-K31","Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1,1
