disease_id,disease_name,report_group_code,disease_scope,disease_scope_note_vi,support_tier,positive_fit_queries,model_complexity_flag,n_estimators_locked,weather_factor,model_feature_examples,weather_importance,weather_current_importance,weather_3d_importance,weather_7d_importance,medical_evidence_status,relationship_type,medical_explanation_short_vi,medical_explanation_detailed_vi,limitations_vi,runtime_tier2_display_allowed,direction_inferred_from_mean_abs_shap,weather_importance_interpreted_as_causal_percent,model_score_interpreted_as_probability,source_1_title,source_1_organization,source_1_url,source_1_year,source_2_title,source_2_organization,source_2_url,source_2_year,source_3_title,source_3_organization,source_3_url,source_3_year,source_ids
274,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,"S42,S52,S62,S82,S92,T10,T12",BROAD_DISEASE_GROUP,"S42,S52,S62,S82,S92,T10,T12 gộp gãy nhiều phần chi và bối cảnh chấn thương khác nhau.",STRONG,7445,NORMAL_MODEL,200,temperature; rain/adverse weather; wind,"[""humidity_max_7d"", ""temperature_min_7d"", ""wind_speed_max_7d"", ""temperature_max_current"", ""weather_code_current"", ""wind_gust_max_7d""]",0.38639753104115804,0.07064357216489368,0.06912173855227169,0.2466322203239927,LIMITED_OR_INDIRECT,INJURY_OR_BEHAVIOR,"Weather có thể thay đổi hoạt động ngoài trời, giao thông, bề mặt trơn và do đó liên quan số ca chấn thương/gãy xương, nhưng chiều và độ lớn thay đổi theo địa điểm và hành vi.","Systematic review về trauma workload cho thấy nhiệt độ cao thường đi cùng nhiều trauma admissions hơn, thời tiết bất lợi ảnh hưởng tai nạn giao thông và gãy xương, đặc biệt ở trẻ em; tuy nhiên dị biệt phương pháp làm hạn chế khả năng khái quát. Đây là liên hệ qua hành vi/phơi nhiễm và sử dụng y tế, không phải weather làm xương tự gãy.","Không đồng nhất về loại gãy, khí hậu, hành vi và độ trễ; hướng có thể khác giữa mưa, nóng, lạnh; không dùng mean(abs(SHAP)) để nói tăng/giảm.",True,False,False,False,What is the effect of the weather on trauma workload? A systematic review of the literature,PubMed / Injury,https://pubmed.ncbi.nlm.nih.gov/25816705/,2015,,,,,,,,,"[""S15""]"
124,Động kinh - Epilepsy,G40-G41,BROAD_DISEASE_GROUP,G40-G41 gồm nhiều hội chứng động kinh và trạng thái động kinh.,STRONG,8356,NORMAL_MODEL,145,temperature; humidity,"[""temperature_min_7d"", ""wind_speed_max_7d"", ""humidity_max_7d"", ""temperature_max_current"", ""wind_gust_max_7d"", ""temperature_max_7d""]",0.3836674407849663,0.061877941400550224,0.04821973826021984,0.27356976112419623,LIMITED_OR_INDIRECT,EXACERBATION,"Một số nghiên cứu quan sát liên hệ nhiệt độ hoặc độ ẩm với cơn co giật/lượt cấp cứu động kinh, nhưng kết quả phụ thuộc quần thể và chưa đủ cho khuyến nghị chung.","Nghiên cứu case-crossover ở Đức ghi nhận tín hiệu với độ ẩm cao, áp suất thấp và nhiệt độ; nghiên cứu registry tại Đài Loan lại thấy nhiệt độ thấp là yếu tố vững hơn còn mưa/ẩm không liên quan. Các kết quả này nói về khởi phát cơn hoặc lượt cấp cứu ở người đã có động kinh, không phải weather gây ra bệnh động kinh.",Không có systematic review định lượng trực tiếp cho nhóm G40-G41; quần thể/khí hậu khác HCM; áp suất không phải feature model; chỉ diễn giải đợt cơn/utilization.,True,False,False,False,Weather as a risk factor for epileptic seizures: A case-crossover study,PubMed / Epilepsia,https://pubmed.ncbi.nlm.nih.gov/28480567/,2017,Low ambient temperature as the only meteorological risk factor of seizure occurrence: A multivariate study,PubMed / Epilepsy & Behavior,https://pubmed.ncbi.nlm.nih.gov/31525555/,2019,,,,,"[""S16"", ""S17""]"
96,"U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour","D00-D05,D07-D21,D26,D28-D29,D31-D32,D34-D48",BROAD_DISEASE_GROUP,"D00-D48 được mapping chọn lọc nhưng vẫn trải nhiều cơ quan, từ u tại chỗ đến u lành/chưa rõ hành vi.",STRONG,8892,NORMAL_MODEL,119,temperature; humidity; wind,"[""temperature_min_7d"", ""humidity_max_7d"", ""wind_speed_max_7d"", ""weather_code_current"", ""wind_gust_max_7d"", ""temperature_max_7d""]",0.37885193110469617,0.06635798282907039,0.04643861618738974,0.266055332088236,INSUFFICIENT,,Không thể xác định một cơ chế weather chung cho tập u rất rộng D00-D48.,"Phân loại D00-D48 bao gồm u tại chỗ, lành tính, chưa chắc chắn và chưa rõ hành vi ở nhiều mô/cơ quan. Weather importance cao có thể phản ánh cấu trúc dữ liệu hoặc lịch ghi nhận; không có bằng chứng y khoa đủ sát để tạo giải thích chung.",BROAD_DISEASE_GROUP cực rộng; nhiều căn nguyên; bệnh diễn tiến dài; không được dùng cơ chế của một u con cho toàn nhóm.,False,False,False,False,"D Codes: in situ, benign, uncertain and unspecified behavior neoplasms",U.S. National Cancer Institute SEER Training,https://training.seer.cancer.gov/icd10cm/neoplasm/d-codes.html,,,,,,,,,,"[""S18""]"
83,U ác các phần khác của hệ thần kinh trung ương - Malignant neoplasm of other parts of central nervous system,"C70,C72",BROAD_DISEASE_GROUP,"C70,C72 gồm u ác màng não, tủy sống, dây thần kinh sọ và phần CNS khác.",BETTER,218,VERY_SIMPLE_MODEL,1,temperature; wind; precipitation,"[""temperature_max_7d"", ""wind_gust_max_7d"", ""precipitation_sum_7d"", ""rain_max_daily_7d"", ""wind_gust_max_3d""]",0.3758650153687568,0.0,0.014435904082335542,0.3614291112864213,INSUFFICIENT,,"Chưa tìm thấy bằng chứng đủ mạnh nối weather ngắn hạn với nhóm u ác C70,C72.","NCI nhận định có ít quan sát chắc chắn về nguyên nhân môi trường hoặc nghề nghiệp của u CNS nguyên phát. Không có cơ sở để diễn giải nhiệt độ, gió hoặc mưa 7 ngày như cơ chế bệnh học của nhóm này.",BROAD_DISEASE_GROUP; model chỉ 1 cây; ung thư phát triển dài hạn; weather 7 ngày không phù hợp cửa sổ căn nguyên.,False,False,False,False,Central Nervous System Tumors Treatment (PDQ®),U.S. National Cancer Institute,https://www.cancer.gov/types/brain/hp/adult-brain-treatment-pdq,2025,,,,,,,,,"[""S19""]"
69,U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage,C40-C41,BROAD_DISEASE_GROUP,C40-C41 gồm nhiều u ác xương/sụn ở nhiều vị trí và mô học.,STRONG,4138,NORMAL_MODEL,101,temperature; humidity; wind; precipitation,"[""temperature_min_7d"", ""humidity_max_7d"", ""temperature_max_7d"", ""wind_speed_max_7d"", ""weather_code_current"", ""precipitation_sum_7d""]",0.37162110300118883,0.042412558452657886,0.040673572674836705,0.28853497187369426,INSUFFICIENT,,Chưa có bằng chứng y khoa đủ mạnh về weather ngắn hạn cho toàn nhóm ung thư xương và sụn C40-C41.,"NCI mô tả các yếu tố nguy cơ đã biết của một số ung thư xương gồm hội chứng di truyền, bệnh Paget và tiền sử xạ trị/điều trị ung thư. Không tìm thấy cơ sở đáng tin cậy để nối nhiệt độ, ẩm, gió hoặc mưa 7 ngày với sự hình thành nhóm u này.",BROAD_DISEASE_GROUP; nhiều loại u; thời gian phát triển dài; source không hỗ trợ weather.,False,False,False,False,Primary Bone Cancer,U.S. National Cancer Institute,https://www.cancer.gov/types/bone/bone-fact-sheet,2018,,,,,,,,,"[""S20""]"
185,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum","K20-K23,K28,K30-K31",BROAD_DISEASE_GROUP,"K20-K23,K28,K30-K31 gộp bệnh thực quản, loét nối vị-tràng, khó tiêu và nhiều bệnh dạ dày-tá tràng khác.",STRONG,9330,NORMAL_MODEL,105,temperature; humidity; wind,"[""temperature_min_7d"", ""temperature_max_7d"", ""wind_speed_max_7d"", ""humidity_max_7d"", ""temperature_max_current"", ""weather_code_current""]",0.3687025301550707,0.07556841423420782,0.03641337230008785,0.256720743620775,INSUFFICIENT,,Chưa tìm thấy bằng chứng đủ tốt và đủ đặc hiệu để giải thích weather cho toàn nhóm bệnh tiêu hóa trên rất rộng này.,"Các thành phần trong nhóm có căn nguyên và biểu hiện khác nhau, từ trào ngược/viêm thực quản đến loét và khó tiêu. Tìm kiếm có chủ đích không cho thấy systematic evidence đủ sát với nhiệt độ, ẩm, gió 3-7 ngày cho toàn mapping K20-K31 này.",BROAD_DISEASE_GROUP; không có một outcome thống nhất; không được ngoại suy bằng chứng tiêu chảy nhiễm khuẩn sang nhóm tiêu hóa trên.,False,False,False,False,,,,,,,,,,,,,[]
8,Các dạng lao khác - Other tuberculosis,A17-A19,BROAD_DISEASE_GROUP,"A17-A19 là lao hệ thần kinh, cơ quan khác và lao kê; không phải toàn bộ lao hô hấp.",STRONG,828,NORMAL_MODEL,90,extreme weather and climate-mediated social determinants,"[""temperature_min_7d"", ""wind_gust_max_7d"", ""temperature_mean_7d"", ""wind_speed_mean_7d"", ""rain_max_daily_7d"", ""temperature_max_3d""]",0.3685176319504466,0.018980909891490764,0.08608143753404254,0.26345528452491335,LIMITED_OR_INDIRECT,OTHER,"Climate có thể ảnh hưởng TB gián tiếp qua suy dinh dưỡng, di dời, quá tải nơi ở và gián đoạn chăm sóc; chưa có cơ sở cho weather 7 ngày trực tiếp đối với A17-A19.","WHO và systematic review mô tả climate change làm nặng các yếu tố nguy cơ TB như mất an ninh lương thực, nghèo đói, di dời, nơi ở đông và gián đoạn dịch vụ. Đây là đường xã hội-hệ thống dài hạn, không phải cơ chế trực tiếp của nhiệt độ/mưa/gió ngắn hạn. Nhóm model còn là lao ngoài phổi/khác, nên càng cần tránh ngoại suy từ transmission của lao phổi.",Bằng chứng gián tiếp qua determinants; nhóm A17-A19 không đồng nhất; mismatch giữa climate dài hạn và weather 7 ngày; không suy ra chiều model.,True,False,False,False,Tuberculosis and climate change: analytical framework and knowledge gaps,World Health Organization,https://www.who.int/publications/i/item/9789240109940,2025,The impact of climate change on the risk factors for tuberculosis: A systematic review,PubMed / Environmental Research,https://pubmed.ncbi.nlm.nih.gov/35550808/,2022,,,,,"[""S21"", ""S22""]"
144,Bệnh thấp tim mãn - Chronic rheumatic disease,I05-I09,BROAD_DISEASE_GROUP,I05-I09 gồm nhiều dạng bệnh van tim do thấp mạn tính.,BETTER,276,NORMAL_MODEL,24,seasonal conditions affecting group A streptococcal circulation,"[""temperature_min_7d"", ""wind_gust_max_7d"", ""wind_speed_mean_7d"", ""rain_max_daily_7d"", ""humidity_min_7d"", ""temperature_max_7d""]",0.36800097643732094,0.005632390756829963,0.026278102132459954,0.336090483548031,LIMITED_OR_INDIRECT,SEASONAL_ASSOCIATION,"Nhiễm liên cầu nhóm A có tính mùa ở một số nơi và là tiền đề của thấp tim, nhưng bệnh tim do thấp là hậu quả mạn, không thể quy cho weather vài ngày gần đây.","WHO xác nhận bệnh tim do thấp là tổn thương van tim sau một hoặc nhiều đợt thấp tim do đáp ứng miễn dịch với nhiễm GAS. CDC ghi nhận GAS thường gặp hơn từ tháng 12 đến tháng 4 ở Hoa Kỳ. Chuỗi liên hệ này là gián tiếp, phụ thuộc địa lý và có độ trễ dài; không chứng minh nhiệt độ, mưa hoặc gió 7 ngày làm bệnh tim mạn tăng.",Evidence mùa từ Hoa Kỳ không đại diện HCM; outcome mạn và lag dài; social crowding/access care quan trọng; không dùng local weather để nói nguyên nhân.,True,False,False,False,Rheumatic heart disease,World Health Organization,https://www.who.int/news-room/fact-sheets/detail/rheumatic-heart-disease,2025,Group A Strep Disease Surveillance and Trends,U.S. Centers for Disease Control and Prevention,https://www.cdc.gov/group-a-strep/php/surveillance/index.html,2024,,,,,"[""S23"", ""S24""]"
199,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,L10-L99,BROAD_DISEASE_GROUP,L10-L99 bao phủ hầu hết bệnh da và mô dưới da ngoài một số nhóm đầu chương.,STRONG,8240,NORMAL_MODEL,101,temperature; humidity; precipitation,"[""temperature_min_7d"", ""wind_speed_max_7d"", ""temperature_max_current"", ""humidity_max_7d"", ""wind_gust_max_7d"", ""rain_max_daily_7d""]",0.3678731234925972,0.06150630774202312,0.03186764143486774,0.27449917431570636,LIMITED_OR_INDIRECT,EXACERBATION,"Nhiệt độ, độ ẩm và mưa có thể liên quan triệu chứng hoặc lượt khám của một số bệnh da như viêm da cơ địa, nhưng không có cơ chế chung cho toàn nhóm L10-L99.","Review về độ ẩm cho thấy ảnh hưởng lên hàng rào da nhưng kết quả dị hợp. Meta-analysis gần đây hỗ trợ liên hệ của nhiệt độ cực đoan, độ ẩm và có thể mưa với atopic dermatitis. Tuy nhiên L10-L99 còn gồm rất nhiều bệnh bóng nước, viêm, nhiễm trùng, bệnh phần phụ da và mô dưới da; chỉ được dùng như kiến thức cho phân nhóm phù hợp.",BROAD_DISEASE_GROUP; evidence mạnh hơn cho atopic dermatitis chứ không toàn nhóm; chiều khác nhau giữa nóng/lạnh/ẩm; không suy ra direction từ mean(abs(SHAP)).,True,False,False,False,Ambient humidity and the skin: the impact of air humidity in healthy and diseased states,PubMed / Journal of the European Academy of Dermatology and Venereology,https://pubmed.ncbi.nlm.nih.gov/27306376/,2016,"Climate Conditions, Weather Changes, and Air Pollutants and Atopic Dermatitis: A Meta-Analysis",PubMed / JAMA Dermatology,https://pubmed.ncbi.nlm.nih.gov/40560568/,2025,,,,,"[""S25"", ""S26""]"
272,"Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis.","S12,S22,S32,T08",BROAD_DISEASE_GROUP,"S12,S22,S32,T08 gộp gãy cổ, lồng ngực, cột sống, chậu và gãy thân mình chưa xác định.",BETTER,204,NORMAL_MODEL,17,temperature; rain/adverse weather; wind,"[""humidity_min_7d"", ""temperature_min_7d"", ""temperature_mean_7d"", ""rain_max_daily_7d"", ""wind_gust_max_7d"", ""humidity_max_7d""]",0.36746892506911355,0.0331879187974961,0.06460701220436393,0.2696739940672535,LIMITED_OR_INDIRECT,INJURY_OR_BEHAVIOR,"Weather có thể liên quan chấn thương qua hoạt động, giao thông và điều kiện bề mặt, nhưng bằng chứng không đủ đặc hiệu cho từng loại gãy cổ-ngực-chậu trong nhóm này.","Systematic review cho thấy weather có thể ảnh hưởng trauma workload và tai nạn giao thông, nhưng chiều hiệu ứng tùy quần thể, loại chấn thương và thời gian của biến cố. Đây là liên hệ hành vi/phơi nhiễm và sử dụng y tế; không phải tác động trực tiếp lên xương.",BROAD_DISEASE_GROUP; dị biệt phương pháp lớn; kết quả vùng có băng tuyết không chuyển trực tiếp sang HCM; không suy ra chiều model.,True,False,False,False,What is the effect of the weather on trauma workload? A systematic review of the literature,PubMed / Injury,https://pubmed.ncbi.nlm.nih.gov/25816705/,2015,,,,,,,,,"[""S15""]"
