disease_group_id,disease_group_name,report_group_code,train_rows,train_case_count,test_rows,test_case_count,data_support,catalog_support_level,model_supported,top1_recall,top5_recall,average_true_rank,predicted_top1_rows,predicted_top1_case_count,top1_prediction_share,actual_test_share,prediction_to_actual_ratio,adequate_support_for_ranking,relatively_good,very_weak_or_unsupported
135,Glôcôm - Glaucoma,H40-H42,1,1,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
136,Lác mắt - Strabismus,H49-H50,20,20,4,4,low,low,True,0.0,0.0,150.5,0,0,0.0,8.447908086760016e-05,0.0,False,False,True
137,"Tật khúc xạ, các rối loạn điều tiết - Disorders of refraction and accomodation",H52,1,1,2,2,insufficient,insufficient,True,0.0,0.0,214.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
139,Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,"H30-H32,H34-H36,H43-H48,H51,H53-H55,H57-H59",30,30,14,14,low,low,True,0.0,0.0,130.57142857142858,0,0,0.0,0.00029567678303660055,0.0,False,False,True
140,"Viêm tai giữa, bệnh khác của tai giữa và xương chũm - Otitis media and other disorders of middle ear and mastoid",H65-H75,130,133,24,24,low,low,True,0.0,0.0,73.91666666666667,0,0,0.0,0.000506874485205601,0.0,False,False,True
141,Mất thính giác - Hearing loss,H90-H91,1,1,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
142,Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,"H60-H62,H80-H83,H92-H95",20,20,12,12,low,low,True,0.0,0.0,136.91666666666666,0,0,0.0,0.0002534372426028005,0.0,False,False,True
143,Thấp khớp cấp - Acute rheumatic heart disease,I00-I02,3,3,4,4,insufficient,insufficient,True,0.0,0.0,184.5,0,0,0.0,8.447908086760016e-05,0.0,False,False,True
144,Bệnh thấp tim mãn - Chronic rheumatic disease,I05-I09,14,14,7,7,low,low,True,0.0,0.0,151.71428571428572,0,0,0.0,0.00014783839151830027,0.0,False,False,True
145,Tăng huyết áp nguyên phát - Essential (primary) hypertension,I10,116,119,54,56,medium,medium,True,0.0,0.0,66.41071428571429,0,0,0.0,0.0011827071321464022,0.0,True,False,True
146,Bệnh tăng huyết áp khác - Other hypertensive diseases,I11-I15,7,7,2,2,insufficient,insufficient,True,0.0,0.0,182.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
148,Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,"I20,I23-I25",2,2,1,1,insufficient,insufficient,True,0.0,0.0,180.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
15,Ho gà - Whooping cough,A37,0,0,16,16,unsupported,low,False,0.0,0.0,,0,0,0.0,0.00033791632347040065,0.0,False,False,True
150,Rối loạn dẫn truyền và loạn nhịp tim - Conduction disorders and cardiac arrhythymias,I44-I49,131,131,44,45,medium,medium,True,0.0,0.0,81.11111111111111,0,0,0.0,0.0009503896597605018,0.0,True,False,True
151,Suy tim - Heart failure,I50,17,17,15,15,low,low,True,0.0,0.0,140.13333333333333,0,0,0.0,0.0003167965532535006,0.0,False,False,True
152,Bệnh tim khác - Other heart diseases,"I27-I43,I51-I52",109,113,39,40,low,low,True,0.0,0.0,81.425,0,0,0.0,0.0008447908086760016,0.0,False,False,True
153,Chảy máu não - Intracerebral haemorrhage,I60-I62,42,43,21,21,low,low,True,0.0,0.0,110.47619047619048,0,0,0.0,0.0004435151745549008,0.0,False,False,True
154,Nhồi máu não - Cerebral infarction,I63,38,38,10,10,low,low,True,0.0,0.0,105.9,0,0,0.0,0.0002111977021690004,0.0,False,False,True
155,"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",I64,1,1,1,1,insufficient,insufficient,True,0.0,0.0,220.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
156,Bệnh mạch máu não khác - Other cerebrovascular diseases,I65-I69,81,82,19,21,low,low,True,0.0,0.0,88.0952380952381,0,0,0.0,0.0004435151745549008,0.0,False,False,True
158,Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,I73,0,0,0,0,unsupported,insufficient,False,,,,0,0,0.0,0.0,,False,False,False
159,Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,I74,5,5,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
16,Nhiễm khuẩn não mô cầu - Meningococcal infection,A39,0,0,1,1,unsupported,insufficient,False,0.0,0.0,,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
160,"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",I71-I72,3,3,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
161,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",I80-I82,33,33,7,7,low,low,True,0.0,0.0,115.0,0,0,0.0,0.00014783839151830027,0.0,False,False,True
164,Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,"I85-I99, I77-I79,I95-I99",126,128,35,37,medium,medium,True,0.0,0.0,86.21621621621621,0,0,0.0,0.0007814314980253015,0.0,True,False,True
165,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,J02-J03,3213,7680,1016,2518,high,high,True,0.017077045274027005,0.8308181096108023,4.677124702144559,497,751,0.01586094743289193,0.0531795814061543,0.2982525814138205,True,True,False
166,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",J04,644,762,232,279,high,high,True,0.0,0.0,31.555555555555557,0,0,0.0,0.005892415890515111,0.0,True,False,True
167,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,"J00-J01,J05-J06",1337,1688,529,697,high,high,True,0.0,0.0,24.85222381635581,0,0,0.0,0.014720479841179327,0.0,True,False,True
168,Cúm - Influenza,J09-J11,1,1,3,3,insufficient,insufficient,True,0.0,0.0,192.33333333333334,0,0,0.0,6.335931065070012e-05,0.0,False,False,True
169,Các bệnh viêm phổi - Pneumonia,J12-J18,4727,26244,1363,7398,high,high,True,0.8152203298188699,0.9680994863476615,1.6040821843741553,15628,30783,0.6501298865868339,0.1562440600646265,4.160989456609895,True,True,False
17,Nhiễm khuẩn huyết - Septicemia,A40-A41,313,324,54,54,medium,medium,True,0.0,0.0,54.53703703703704,0,0,0.0,0.0011404675917126021,0.0,True,False,True
170,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,J20-J21,3311,10004,1022,2775,high,high,True,0.06702702702702702,0.7124324324324325,5.558918918918919,634,1316,0.027793617605440454,0.05860736235189761,0.4742342342342342,True,True,False
171,Viêm xoang mạn tính - Chronic sinusitis,J32,7,7,1,1,insufficient,insufficient,True,0.0,0.0,192.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
172,Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,"J30-J31,J33-J34",34,34,22,23,low,low,True,0.0,0.0,120.82608695652173,0,0,0.0,0.0004857547149887009,0.0,False,False,True
173,Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,J35,1412,2683,409,733,high,high,True,0.005457025920873124,0.20327421555252387,15.33287858117326,39,58,0.0012249466725802022,0.01548079156898773,0.0791268758526603,True,False,False
174,Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,J36-J39,31,31,3,3,low,low,True,0.0,0.0,123.0,0,0,0.0,6.335931065070012e-05,0.0,False,False,True
175,"Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases",J40-J44,25,28,2,2,low,low,True,0.0,0.0,186.0,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
176,Hen - Asthma,J45-J46,2207,4663,622,1162,high,high,True,0.0,0.1351118760757315,11.400172117039586,0,0,0.0,0.024541172992037848,0.0,True,False,False
179,Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.,"J22,J61-J99",128,129,57,59,medium,medium,True,0.0,0.0,75.01694915254237,0,0,0.0,0.0012460664427971025,0.0,True,False,True
18,Các bệnh do vi khuẩn khác - Other bacterial diseases,"A21-A22,A24-A28,A31-A32,A38,A42-A49",7,7,1,1,insufficient,insufficient,True,0.0,0.0,187.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
180,Sâu răng - Dental caries,K02,1,1,1,1,insufficient,insufficient,True,0.0,0.0,202.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
181,Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures,"K03-K08,K00-K01",102,105,30,30,low,low,True,0.0,0.0,82.1,0,0,0.0,0.0006335931065070012,0.0,False,False,True
182,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",K09-K14,823,959,231,283,high,high,True,0.0,0.0,28.996466431095406,0,0,0.0,0.005976894971382711,0.0,True,False,True
183,Loét dạ dày và tá tràng - Gastric and duodenal ulcer,K25-K27,217,234,62,66,medium,medium,True,0.0,0.0,40.96969696969697,0,0,0.0,0.0013939048343154026,0.0,True,False,True
184,Viêm dạ dày và tá tràng - Gastritis and duodenitis,K29,1005,1347,392,584,high,high,True,0.0,0.17123287671232876,16.748287671232877,0,0,0.0,0.012333945806669624,0.0,True,False,False
185,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum","K20-K23,K28,K30-K31",2051,2657,373,425,high,high,True,0.0,0.004705882352941176,15.047058823529412,0,0,0.0,0.008975902342182518,0.0,True,False,True
186,Bệnh của ruột thừa - Diseases of appendix,K35-K38,1519,1877,373,457,high,high,True,0.015317286652078774,0.3916849015317287,9.820568927789934,193,225,0.004751948298802509,0.009651734989123318,0.4923413566739606,True,False,False
187,Thoát vị bẹn - Inguinal hernia,K40,1669,2462,460,694,high,high,True,0.0,0.004322766570605188,15.812680115273775,0,0,0.0,0.014657120530528627,0.0,True,False,True
188,Các thoát vị khác - Other hernia,K41-K46,130,131,22,22,low,low,True,0.0,0.0,72.27272727272727,0,0,0.0,0.0004646349447718009,0.0,False,False,True
189,Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis,K50-K51,118,120,49,50,medium,medium,True,0.0,0.0,71.26,0,0,0.0,0.001055988510845002,0.0,True,False,True
19,Giang mai bẩm sinh - Congenital syphilis,A49,19,19,8,8,insufficient,insufficient,True,0.0,0.0,147.25,0,0,0.0,0.00016895816173520032,0.0,False,False,True
190,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",K56,1714,2865,400,578,high,high,True,0.0,0.10726643598615918,14.141868512110726,34,59,0.0012460664427971025,0.012207227185368224,0.10207612456747404,True,False,False
191,Bệnh túi thừa của ruột non - Diverticular disease of intestine,K57,4,4,4,4,insufficient,insufficient,True,0.0,0.0,172.5,0,0,0.0,8.447908086760016e-05,0.0,False,False,True
192,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,"K52-K55,K58-K67",1047,1153,218,239,high,high,True,0.0,0.0,30.439330543933053,0,0,0.0,0.005047625081839109,0.0,True,False,True
194,Các bệnh khác của gan - Other diseases of liver,K71-K77,969,1129,282,333,high,high,True,0.0,0.0,25.543543543543542,0,0,0.0,0.007032883482227714,0.0,True,False,True
195,Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis,K80-K81,60,60,21,21,low,low,True,0.0,0.0,96.80952380952381,0,0,0.0,0.0004435151745549008,0.0,False,False,True
196,Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas,K85-K86,285,292,82,84,medium,medium,True,0.0,0.0,52.45238095238095,0,0,0.0,0.0017740606982196033,0.0,True,False,True
197,Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,"K87-K93,K82-K83",559,589,146,155,medium,medium,True,0.0,0.0,41.38709677419355,0,0,0.0,0.003273564383619506,0.0,True,False,True
198,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,L00-L08,1470,1694,372,413,high,high,True,0.0,0.0,21.28813559322034,0,0,0.0,0.008722465099579716,0.0,True,False,True
199,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,L10-L99,1624,2015,506,628,high,high,True,0.0,0.0,18.823248407643312,0,0,0.0,0.013263215696213226,0.0,True,False,True
2,"Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers",A01,0,0,1,1,unsupported,insufficient,False,0.0,0.0,,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
20,"Giang mai sớm (Giang mai I, II và kín) - Early syphilis",A50,23,23,11,11,low,low,True,0.0,0.0,74.9090909090909,0,0,0.0,0.00023231747238590045,0.0,False,False,True
200,"Viêm khớp dạng thấp và viêm khớp khác - Rheumatoid arthritis, other inflamatory polyarthropaties",M05-M14,513,585,212,251,high,high,True,0.0,0.099601593625498,28.64541832669323,10,12,0.0002534372426028005,0.0053010623244419105,0.04780876494023904,True,False,True
201,Bệnh thoái hoá khớp - Arthrosis,M15-M19,2,2,1,1,insufficient,insufficient,True,0.0,0.0,201.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
202,Biến dạng các chi mắc phải - Accquired deformities of limbs,M20-M21,24,25,9,9,low,low,True,0.0,0.0,127.66666666666667,0,0,0.0,0.00019007793195210037,0.0,False,False,True
203,Bệnh khác của khớp - Other joint disorders,"M00-M03,M22-M25",201,207,42,42,medium,medium,True,0.0,0.0,68.21428571428571,0,0,0.0,0.0008870303491098016,0.0,True,False,True
204,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,M30-M36,1202,1485,326,389,high,high,True,0.14910025706940874,0.4241645244215938,19.303341902313626,864,1007,0.02126760860841834,0.008215590614374116,2.588688946015424,True,False,False
205,Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,M50-M51,8,8,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
206,Bệnh khác của cột sống - Other dorsopathies,"M40-M49,M53-M54",163,170,22,22,medium,medium,True,0.0,0.0,76.31818181818181,0,0,0.0,0.0004646349447718009,0.0,True,False,True
207,Tổn thương các mô mềm - Soft tissue disorders,M60-M79,434,470,133,145,medium,medium,True,0.0,0.0,51.144827586206894,0,0,0.0,0.003062366681450506,0.0,True,False,True
208,Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure,M80-M85,32,32,58,58,low,low,True,0.0,0.0,119.20689655172414,0,0,0.0,0.0012249466725802022,0.0,False,False,True
209,Viêm xương tuỷ - Osteomyelitis,M86,154,158,34,34,medium,medium,True,0.0,0.0,70.38235294117646,0,0,0.0,0.0007180721873746013,0.0,True,False,True
210,"Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue",M87-M99,44,44,6,6,low,low,True,0.0,0.0,106.33333333333333,0,0,0.0,0.00012671862130140025,0.0,False,False,True
211,Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes,N00-N01,70,71,38,39,low,low,True,0.0,0.0,82.46153846153847,0,0,0.0,0.0008236710384591016,0.0,False,False,True
212,Bệnh cầu thận khác - Other glomerular diseases,N02-N08,710,788,249,282,high,high,True,0.0,0.0035460992907801418,31.74822695035461,0,0,0.0,0.005955775201165811,0.0,True,False,True
213,Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,N10-N16,71,71,10,10,low,low,True,0.0,0.0,95.4,0,0,0.0,0.0002111977021690004,0.0,False,False,True
214,Suy thận - Renal failure,N17-N19,369,394,131,144,medium,medium,True,0.0,0.027777777777777776,28.73611111111111,0,0,0.0,0.003041246911233606,0.0,True,False,True
215,Sỏi tiết niệu - Urolithiasis,N20-N23,138,138,36,37,medium,medium,True,0.0,0.0,82.37837837837837,0,0,0.0,0.0007814314980253015,0.0,True,False,True
216,Viêm bàng quang - Cystitis,N30,46,46,5,5,low,low,True,0.0,0.0,119.0,0,0,0.0,0.0001055988510845002,0.0,False,False,True
217,Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system,"N25-N29,N31-N39",941,1027,240,265,high,high,True,0.0,0.0,34.1811320754717,0,0,0.0,0.00559673910747851,0.0,True,False,True
218,Quá sản tuyến tiền liệt - Hyperplasia of prostate,N40,2,2,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
219,Tổn thương khác của tuyến tiền liệt - Other disorders of prostate,N41-N42,0,0,2,2,unsupported,insufficient,False,0.0,0.0,,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
220,"Tràn dịch tinh mạc, u nang tinh dịch - Hydrocele and spermatocele",N43,472,907,29,32,medium,medium,True,0.0,0.0,28.40625,0,0,0.0,0.0006758326469408013,0.0,True,False,True
221,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",N47,757,1108,237,357,high,high,True,0.0,0.0896358543417367,19.759103641456583,0,0,0.0,0.007539757967433314,0.0,True,False,True
222,Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs,"N44-N46,N48,N49-N51",262,276,76,84,medium,medium,True,0.0,0.0,45.833333333333336,0,0,0.0,0.0017740606982196033,0.0,True,False,True
223,Tổn thương của vú - Disorders of breast,N60-N64,12,12,2,2,low,low,True,0.0,0.0,112.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
224,Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,N70,6,6,1,1,insufficient,insufficient,True,0.0,0.0,155.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
226,Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs,"N71,N73-N77",37,37,15,15,low,low,True,0.0,0.0,99.26666666666667,0,0,0.0,0.0003167965532535006,0.0,False,False,True
229,"Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament",N83,297,333,90,102,medium,medium,True,0.0,0.06862745098039216,21.07843137254902,0,0,0.0,0.002154216562123804,0.0,True,False,True
230,Rối loạn kinh nguyệt - Disorders of menstruation,N91-N92,11,11,1,1,insufficient,insufficient,True,0.0,0.0,100.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
233,Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract,"N82,N84-N90,N93-N94,N96,N98-N99",70,71,16,16,low,low,True,0.0,0.0,72.8125,0,0,0.0,0.00033791632347040065,0.0,False,False,True
24,Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,A57-A64,1,1,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
242,Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,"O20-O29,O60-O63,O67-O71,O73-O75,O81-O84",1,1,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
245,"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",P00-P04,1,1,1,1,insufficient,insufficient,True,0.0,0.0,177.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
246,"Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight",P05-P07,116,127,34,36,medium,medium,True,0.0,0.0,35.72222222222222,0,0,0.0,0.0007603117278084015,0.0,True,False,True
247,Các chấn thương sản khoa - Birth trauma,P10-P15,1,1,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
249,Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period,P22-P28,10,10,7,7,low,low,True,0.0,0.0,120.14285714285714,0,0,0.0,0.00014783839151830027,0.0,False,False,True
250,Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases,P35-P37,304,341,109,136,medium,medium,True,0.0,0.0,20.24264705882353,0,0,0.0,0.0028722887494984054,0.0,True,False,True
251,Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period,P38-P39,50,51,15,15,low,low,True,0.0,0.0,52.666666666666664,0,0,0.0,0.0003167965532535006,0.0,False,False,True
253,Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,"P08,P29,P50-P54,P56-P96",1187,1833,431,725,high,high,True,0.0,0.2772413793103448,18.958620689655174,8,17,0.00035903609368730067,0.015311833407252529,0.023448275862068966,True,False,False
254,Gai đôi cột sống - Spina bifida,Q05,21,21,1,1,low,low,True,0.0,0.0,93.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
255,Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma,"Q00-Q04,Q06-Q07",112,113,15,16,low,low,True,0.0,0.0,84.375,0,0,0.0,0.00033791632347040065,0.0,False,False,True
256,Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,Q20-Q28,1121,1377,417,531,high,high,True,0.0,0.005649717514124294,23.065913370998118,0,0,0.0,0.011214597985173921,0.0,True,False,True
257,Sứt môi và hở hàm ếch - Cleft lip and cleft palate,Q35-Q37,519,554,87,92,medium,medium,True,0.0,0.0,41.98913043478261,0,0,0.0,0.0019430188599548037,0.0,True,False,True
258,"Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine",Q41,4,4,1,1,insufficient,insufficient,True,0.0,0.0,154.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
